"OBJECTID" "x" "y" "coarse" "clay" "silt" "sand" "pH" "OC" "N" "P" "K" "CEC" "pH_class"
264 826740.921 5380728.076 3 18 77 5 5.36 17 2 0 60.4 8.3 "acidic"
265 822412.6058 5406710.948 20 8 15 76 5.79 21.9 2.2 28.5 145.2 7 "acidic"
266 822863.9725 5370675.754 6 20 58 23 6.8 15.5 1.6 66.6 157.8 11.1 "neutral"
267 818233.2721 5420675.357 11 18 37 45 5.67 26.9 2.5 28.9 64 7.4 "acidic"
268 816705.3376 5382628.053 27 24 45 31 7.27 16.3 1.6 61.8 102.7 21.7 "neutral"
269 812859.7649 5370547.351 13 12 38 50 6.08 14.9 1.8 65.4 246.8 8.8 "acidic"
270 812996.3502 5360528.285 6 20 45 36 6.95 19.1 2 36.5 141.5 12 "neutral"
271 808400.9083 5406547.412 5 21 73 6 6.38 23.6 2.5 28.1 386.7 10 "acidic"
272 804869.4572 5370466.701 23 18 49 33 7.37 18.9 1.9 80.6 223.5 16 "neutral"
273 802478.274 5400470.037 5 13 36 51 7.55 33.1 1.8 54.2 145.7 12.9 "alkaline"
274 800660.1071 5384421.735 4 18 47 35 7 10.8 1.3 40.4 276.1 10.3 "neutral"
275 801013.0067 5366354.446 17 33 58 9 6.8 27.8 2.5 96.6 442.7 21 "neutral"
276 798245.8702 5418439.24 8 15 29 56 4.37 32.4 3.0999999 16.4 62.4 4.5 "acidic"
277 798423.6105 5404427.185 4 32 61 7 7.55 41.9 3.2 113.6 88 29.3 "alkaline"
278 798878.6491 5368396.507 16 20 47 33 5.43 27.7 2.8 12 53.5 10.8 "acidic"
279 796373.0496 5408406.836 11 18 41 42 7.55 28.8 2.2 39.8 129.3 15.7 "alkaline"
280 794550.6496 5396422.971 11 24 70 6 7.94 9 1 45.2 119.2 16.8 "alkaline"
281 794750.7924 5378335.319 7 17 53 30 5.78 12.5 1.4 49.7 210.4 6.7 "acidic"
282 784293.642 5414267.274 11 18 76 6 7.27 10.5 1.3 66.9 352.4 11.2 "neutral"
283 784909.0983 5364221.676 14 20 53 27 5.63 17.3 1.8 15.5 91.9 9.1 "acidic"
284 778369.0531 5408191.091 16 19 68 13 7.78 18.1 1.6 101.2 375.1 15.3 "alkaline"
285 774212.2585 5420157.082 16 16 42 42 7.63 15.1 1.7 103.9 378.8 14.7 "alkaline"
286 774622.5294 5384143.908 32 20 64 16 6.23 16.3 1.8 29.4 118.8 10.4 "acidic"
287 774899.1621 5366121.152 16 16 56 27 6.4 16.2 1.7 54.3 241.1 10.7 "acidic"
288 772025.8598 5434135.069 6 16 43 41 5.83 15.3 1.4 91.2 206 10.5 "acidic"
289 772505.344 5392105.661 9 29 54 17 7.9 21.2 1.9 50.9 381.3 22.9 "alkaline"
290 772849.9869 5370093.194 13 15 36 49 5.71 13 1.5 15.8 65.1 8 "acidic"
291 770440.8472 5402094.321 23 23 59 18 7.81 17.1 1.5 67.8 283.4 17.6 "alkaline"
292 770567.4842 5390129.576 29 24 48 28 7.03 13.8 1.5 88.3 274 17.6 "neutral"
293 768578.6403 5406122.677 13 30 62 8 7.68 17.7 1.9 89.2 313.7 22.7 "alkaline"
294 768797.3339 5374050.299 21 32 47 21 6.55 20.2 2.0999999 64.8 321.1 22.3 "neutral"
295 760132.8915 5425982.779 8 9 21 70 7.36 12.4 1.3 67.8 150.7 7.8 "neutral"
296 758157.3585 5423961.668 4 14 61 25 7.38 45.1 3.0999999 15.9 56.8 21.6 "neutral"
297 758515.3135 5395946.082 28 37 47 16 7.23 148.1 11.1999998 52.6 260.9 83.7 "neutral"
298 754333.2439 5409895.86 6 19 61 20 6.94 13.5 1.4 78.7 384.1 12.2 "neutral"
299 754614.6041 5387893.419 10 17 73 10 6.93 15 1.7 50.6 285.4 13.6 "neutral"
300 744998.1032 5357759.476 8 18 40 42 7.17 21.3 2.2 68.9 64.1 18.1 "neutral"
301 740384.7243 5405734.277 2 26 61 14 7.26 16.5 1.7 54 314 2.7 "neutral"
302 738436.754 5401709.512 8 29 60 10 7.37 18.9 1.9 42.3 235.3 18.9 "neutral"
303 736615.8445 5387675.466 8 24 61 15 7.83 35.1 3.2 33 0 32.7 "alkaline"
304 734362.7364 5407661.986 7 33 39 27 5.62 17.4 1.8 42 255.7 21.5 "acidic"
305 732822.462 5369684.105 2 30 46 24 6.61 11.9 1.4 38.2 202.9 16.1 "neutral"
306 728437.5295 5401586.667 21 26 51 23 6.96 19.3 2.0999999 78.2 353.2 18.4 "neutral"
307 728593.07 5389583.538 26 26 64 10 7.77 14.8 1.7 73.5 344.9 18.3 "alkaline"
308 724132.0383 5425551.43 17 29 31 40 7.09 12.9 1.5 50.2 16.6 17.6 "neutral"
309 720668.8619 5383481.079 15 26 48 26 7.53 11 1.4 35.9 198.1 19 "alkaline"
310 718258.1785 5415469.756 5 27 61 13 7.74 14.5 1.4 72.6 334.2 18.2 "alkaline"
311 714389.2844 5405418.972 2 24 61 15 7.65 13.8 1.5 57.3 218.9 19 "alkaline"
312 714567.8172 5391412.668 8 21 64 15 7.56 17.6 1.8 90.8 231.9 17.4 "alkaline"
313 710259.2758 5415358.303 9 22 40 38 7.51 10.9 1.2 67.5 203.5 15.1 "alkaline"
314 679435.1913 5479005.346 35 27 60 13 6.25 25.2 2.5 10.3 0 14.3 "acidic"
315 667413.8522 5480856.906 13 41 29 30 5.73 44 4.1999998 17.5 133.2 26.1 "acidic"
316 667830.4146 5448853.003 3 32 27 41 7.21 22 2.0999999 64.5 583.4 22.2 "neutral"
317 661991.6365 5436764.583 11 36 56 8 7.15 18.7 2 83.7 614.5 21.1 "neutral"
318 655285.1287 5490700.461 6 4 9 86 5.63 7.8 0.7 45.7 82.7 5.1 "acidic"
319 655913.9545 5442698.56 17 25 58 17 7.01 13.6 1.4 28.1 183.2 12.5 "neutral"
320 649942.4985 5440625.594 6 38 48 14 6.4 26.3 2.7 37.4 257.7 21.5 "acidic"
321 644155.1721 5424547.785 6 22 68 10 5.92 16.3 1.7 55.8 191.1 10.4 "acidic"
322 640078.3636 5430493.202 6 49 45 6 7.72 19.8 2.0999999 0 264.4 24 "alkaline"
323 637333.6017 5486471.554 4 17 41 42 6.92 13.8 1.3 54.1 265.3 9.9 "neutral"
324 637448.8976 5478465.497 8 18 28 53 6.39 19.3 2 21.2 47.7 11.2 "acidic"
325 638188.8391 5424477.462 12 27 68 5 5.86 19.2 2.2 21.6 80.6 13.6 "acidic"
326 635792.1377 5452443.896 8 10 26 64 5.36 9.4 0.8 95.6 116.5 2.9 "acidic"
327 631951.7459 5440390.691 12 43 30 27 7.41 26.8 2.4000001 34.3 346 21.5 "neutral"
328 629056.8682 5508360.95 3 24 47 29 6.71 11 1.2 16.1 246.6 11.7 "neutral"
329 630005.1075 5436366.23 17 30 53 17 5.9 16.7 1.9 15.6 146 14.2 "acidic"
330 627666.125 5462337.496 8 18 36 46 6.68 34.6 3.5 45.7 106 21.9 "neutral"
331 625455.2119 5478312.69 13 25 25 51 6.91 38.1 3.7 24.1 148.7 24.5 "neutral"
332 625535.54 5472312.88 3 9 24 67 7.14 13.6 1.7 63.8 388.3 9.4 "neutral"
333 625771.4315 5454314.785 7 11 26 63 7.49 6 0.7 60.5 198 9 "neutral"
334 626008.8364 5436316.121 6 41 48 11 6.5 30.8 2.9000001 0 156.4 24.9 "acidic"
335 617326.8079 5488205.26 6 22 22 56 6.01 13.8 1.4 28.3 126.7 10.4 "acidic"
336 615225.8712 5496179.332 13 31 34 36 7.45 28 2.9000001 27.6 133.5 23.9 "neutral"
337 611225.0969 5496123.771 8 9 24 68 7.6 11.7 1.4 101.4 232.3 12.3 "alkaline"
338 607545.3688 5472075.654 5 13 37 50 6.24 12.5 1.5 64.9 308.4 9.2 "acidic"
339 605729.6611 5458053.721 12 74 23 3 6.5 53.3 5.9000001 0 269.8 54.8 "acidic"
340 599414.6395 5481970.53 26 42 53 5 7.12 45.2 4.5 28 258.2 37.6 "neutral"
341 599577.0691 5469973.304 13 23 35 42 7.05 14.5 1.5 32.9 263.9 13.7 "neutral"
342 595869.6034 5447892.905 3 20 45 35 7.46 10.1 1.1 19.3 120.8 13 "neutral"
343 591368.8004 5485864.321 3 19 74 7 7.91 11.4 1.4 26.3 161.7 16 "alkaline"
344 585398.2601 5483785.96 12 34 47 18 7.73 16.8 1.8 46.6 328.1 22.8 "alkaline"
345 583374.3029 5485760.654 12 38 58 4 7.5 37.3 3.5 13.3 185.8 40.7 "alkaline"
346 581586.0879 5469739.255 0 36 53 11 7.3 29.4 3 15.2 527.2 24.8 "neutral"
