"OBJECTID" "x" "y" "coarse" "clay" "silt" "sand" "pH" "OC" "N" "P" "K" "CEC" "pH_class"
61 672323.5984 5410898.541 4 15 31 54 7.16 13 1.3 53.4 399.8 10 "neutral"
62 673351.5515 5330876.135 8 9 65 26 6.69 13.2 1.5 67.4 128 11.2 "neutral"
63 673875.4101 5290858.055 11 16 52 32 7.4 44.2 4.1999998 13.4 168.4 36.6 "neutral"
64 669043.9449 5354835.918 9 18 37 45 6.75 13.1 1.6 94.6 262.2 12 "neutral"
65 669097.5872 5350835.098 0 18 28 53 6.02 47.3 4.0999999 40 102.3 21.6 "acidic"
66 664505.182 5396793.712 12 11 14 74 7.33 29.1 2.3 0 264.5 17.1 "neutral"
67 664637.4788 5386794.587 1 7 10 82 5.97 73.8 5.8000002 23.7 373.3 29 "acidic"
68 665892.1724 5288761.189 34 20 49 31 6.84 37.3 3.4000001 20 193.5 27.9 "neutral"
69 664070.1301 5274732.317 21 62 38 1 6.69 113.5 9.8000002 11.3 192.6 63.8 "neutral"
70 658251.3578 5416722.612 23 39 35 26 7.69 32.8 3 77 467 27.9 "alkaline"
71 657845.6271 5292668.413 16 45 43 12 6.8 123.8 8.6000004 17.4 156.6 64.7 "neutral"
72 654331.6117 5410671.485 11 23 61 16 6.54 12.6 1.4 53.2 147.2 13.9 "neutral"
73 650434.7193 5404619.749 10 29 54 17 7.33 27.2 1.9 95.4 543.3 22.1 "neutral"
74 651339.3679 5332605.489 16 27 53 20 6.79 32.2 3.2 50.6 57.4 22.3 "neutral"
75 651748.9338 5300596.223 2 23 41 36 6.35 40.1 4.0999999 47.8 151 20.3 "acidic"
76 647674.9525 5306549.406 0 36 49 16 5.67 63.2 5.4000001 0 99.7 28.5 "acidic"
77 641883.8392 5290469.769 10 31 50 19 5.84 50.8 5.1999998 21.1 115.5 29 "acidic"
78 633763.6891 5300372.276 3 17 61 22 6.84 53.5 5.6999998 13.5 166.6 32.5 "neutral"
79 779726.1406 5458248.906 7 17 37 46 6.49 57.3 5.1999998 16 67.4 17.5 "acidic"
80 775645.7686 5464203.044 10 16 35 48 6.35 15.6 1.6 76.6 543.1 10.1 "acidic"
81 771799.3401 5452146.598 17 11 28 61 7.07 17.4 1.7 139.4 688.1 7 "neutral"
82 765772.7605 5454076.207 17 13 27 59 6.27 21 1.9 74.5 482.4 9.2 "acidic"
83 761720.588 5458028.098 3 23 44 33 5.59 24.4 2.4000001 43.3 282.1 9.5 "acidic"
84 757460.7421 5477987.692 8 20 36 44 7.2 15.8 1.6 65.7 414.3 14.6 "neutral"
85 753173.0338 5499945.916 6 17 51 31 7 15.7 1.5 51.8 183.2 9.9 "neutral"
86 751899.5382 5443901.184 24 21 38 41 6.18 29.5 2.5 14.6 213.3 13.6 "acidic"
87 747536.933 5471861.803 30 10 26 64 6.2 12.5 1.3 63.5 130.9 7.4 "acidic"
88 747820.6265 5449854.031 27 8 24 69 5.37 9.3 1 147.3 280.6 6.5 "acidic"
89 748051.9328 5431844.866 22 22 61 17 8.08 31.1 2.4000001 45.2 138.7 20.6 "alkaline"
